Line,From (ID),To (ID),Weight (coaches),Kilometres
1,Pinar de Chamartín,Bambú,7.1,
1,Bambú,Chamartín,7.1,
1,Chamartín,Plaza de Castilla,7.1,
1,Plaza de Castilla,Valdeacederas,7.1,
1,Valdeacederas,Tetuán,7.1,
1,Tetuán,Estrecho,7.1,
1,Estrecho,Alvarado,7.1,
1,Alvarado,Cuatro Caminos,7.1,
1,Cuatro Caminos,Ríos Rosas,7.1,
1,Ríos Rosas,Iglesia,7.1,
1,Iglesia,Bilbao,7.1,
1,Bilbao,Tribunal,7.1,
1,Tribunal,Gran Vía,7.1,
1,Gran Vía,Sol,7.1,
1,Sol,Tirso de Molina,7.1,
1,Tirso de Molina,Antón Martín,7.1,
1,Antón Martín,Estación del Arte,7.1,
1,Estación del Arte,Atocha-Renfe,7.1,
1,Atocha-Renfe,Menéndez Pelayo,7.1,
1,Menéndez Pelayo,Pacífico,7.1,
1,Pacífico,Puente de Vallecas,7.1,
1,Puente de Vallecas,Nueva Numancia,7.1,
1,Nueva Numancia,Portazgo,7.1,
1,Portazgo,Buenos Aires,7.1,
1,Buenos Aires,Alto del Arenal,7.1,
1,Alto del Arenal,Miguel Hernández,7.1,
1,Miguel Hernández,Sierra de Guadalupe,7.1,
1,Sierra de Guadalupe,Villa de Vallecas,7.1,
1,Villa de Vallecas,Congosto,7.1,
1,Congosto,La Gavia,7.1,
1,La Gavia,Las Suertes,7.1,
1,Las Suertes,Valdecarros,7.1,
2,Las Rosas,Avenida de Guadalajara,3.2,
2,Avenida de Guadalajara,Alsacia,3.2,
2,Alsacia,La Almudena,3.2,
2,La Almudena,La Elipa,3.2,
2,La Elipa,Ventas,3.2,
2,Ventas,Manuel Becerra,3.2,
2,Manuel Becerra,Goya,3.2,
2,Goya,Príncipe de Vergara,3.2,
2,Príncipe de Vergara,Retiro,3.2,
2,Retiro,Banco de España,3.2,
2,Banco de España,Sevilla,3.2,
2,Sevilla,Sol,3.2,
2,Sol,Ópera,3.2,
2,Ópera,Santo Domingo,3.2,
2,Santo Domingo,Noviciado,3.2,
2,Noviciado,San Bernardo,3.2,
2,San Bernardo,Quevedo,3.2,
2,Quevedo,Canal,3.2,
2,Canal,Cuatro Caminos,3.2,
3,Villaverde Alto,San Cristóbal,9.5,
3,San Cristóbal,Villaverde Bajo-Cruce,9.5,
3,Villaverde Bajo-Cruce,Cuidad de los Ángeles,9.5,
3,Cuidad de los Ángeles,San Fermín-Orcasur,9.5,
3,San Fermín-Orcasur,Hospital 12 de Octubre,9.5,
3,Hospital 12 de Octubre,Almendrales,9.5,
3,Almendrales,Legazpi,9.5,
3,Legazpi,Delicias,9.5,
3,Delicias,Palos de la Frontera,9.5,
3,Palos de la Frontera,Embajadores,9.5,
3,Embajadores,Lavapiés,9.5,
3,Lavapiés,Sol,9.5,
3,Sol,Callao,9.5,
3,Callao,Plaza de España,9.5,
3,Plaza de España,Ventura Rodríguez,9.5,
3,Ventura Rodríguez,Argüelles,9.5,
3,Argüelles,Moncloa,9.5,
4,Argüelles,San Bernardo,4.4,
4,San Bernardo,Bilbao,4.4,
4,Bilbao,Alonso Martínez,4.4,
4,Alonso Martínez,Colón,4.4,
4,Colón,Serrano,4.4,
4,Serrano,Velázquez,4.4,
4,Velázquez,Goya,4.4,
4,Goya,Lista,4.4,
4,Lista,Diego de León,4.4,
4,Diego de León,Avenida de América,4.4,
4,Avenida de América,Prosperidad,4.4,
4,Prosperidad,Alfonso XIII,4.4,
4,Alfonso XIII,Avenida de La Paz,4.4,
4,Avenida de La Paz,Arturo Soria,4.4,
4,Arturo Soria,Esperanza,4.4,
4,Esperanza,Canillas,4.4,
4,Canillas,Mar de Cristal,4.4,
4,Mar de Cristal,San Lorenzo,4.4,
4,San Lorenzo,Parque de Santa María,4.4,
4,Parque de Santa María,Hortaleza,4.4,
4,Hortaleza,Manoteras,4.4,
4,Manoteras,Pinar de Chamartín,4.4,
5,Alameda de Osuna,El Capricho,6.2,
5,El Capricho,Canillejas,6.2,
5,Canillejas,Torre Arias,6.2,
5,Torre Arias,Suanzes,6.2,
5,Suanzes,Ciudad Lineal,6.2,
5,Ciudad Lineal,Pueblo Nuevo,6.2,
5,Pueblo Nuevo,Quintana,6.2,
5,Quintana,El Carmen,6.2,
5,El Carmen,Ventas,6.2,
5,Ventas,Diego de León,6.2,
5,Diego de León,Núñez de Balboa,6.2,
5,Núñez de Balboa,Rubén Darío,6.2,
5,Rubén Darío,Alonso Martínez,6.2,
5,Alonso Martínez,Chueca,6.2,
5,Chueca,Gran Vía,6.2,
5,Gran Vía,Callao,6.2,
5,Callao,Ópera,6.2,
5,Ópera,La Latina,6.2,
5,La Latina,Puerta de Toledo,6.2,
5,Puerta de Toledo,Acacias,6.2,
5,Acacias,Pirámides,6.2,
5,Pirámides,Marqués de Vadillo,6.2,
5,Marqués de Vadillo,Urgel,6.2,
5,Urgel,Oporto,6.2,
5,Oporto,Vista Alegre,6.2,
5,Vista Alegre,Carabanchel,6.2,
5,Carabanchel,Eugenia de Montijo,6.2,
5,Eugenia de Montijo,Aluche,6.2,
5,Aluche,Empalme,6.2,
5,Empalme,Campamento,6.2,
5,Campamento,Casa de Campo,6.2,
6,Laguna,Carpetana,6.6,
6,Carpetana,Oporto,6.6,
6,Oporto,Opañel,6.6,
6,Opañel,Plaza Elíptica,6.6,
6,Plaza Elíptica,Usera,6.6,
6,Usera,Legazpi,6.6,
6,Legazpi,Arganzuela-Planetario,6.6,
6,Arganzuela-Planetario,Méndez Álvaro,6.6,
6,Méndez Álvaro,Pacífico,6.6,
6,Pacífico,Conde de Casal,6.6,
6,Conde de Casal,Sainz de Baranda,6.6,
6,Sainz de Baranda,O Donnell,6.6,
6,O Donnell,Manuel Becerra,6.6,
6,Manuel Becerra,Diego de León,6.6,
6,Diego de León,Avenida de América,6.6,
6,Avenida de América,República Argentina,6.6,
6,República Argentina,Nuevos Ministerios,6.6,
6,Nuevos Ministerios,Cuatro Caminos,6.6,
6,Cuatro Caminos,Guzmán el Bueno,6.6,
6,Guzmán el Bueno,Vicente Aleixandre,6.6,
6,Vicente Aleixandre,Ciudad Universitaria,6.6,
6,Ciudad Universitaria,Moncloa,6.6,
